# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-1.690 -1.597 1.843 2.288 0.010
-1.597 -1.505 2.975 3.239 0.016
-1.505 -1.412 4.802 2.877 0.026
-1.412 -1.319 7.751 3.187 0.042
-1.319 -1.226 12.509 4.240 0.067
-1.226 -1.134 20.190 6.285 0.109
-1.134 -1.041 32.586 9.797 0.175
-1.041 -0.948 52.594 15.250 0.283
-0.948 -0.855 84.885 18.821 0.457
-0.855 -0.763 137.004 23.936 0.737
-0.763 -0.670 221.122 30.716 1.189
-0.670 -0.577 356.887 41.275 1.920
-0.577 -0.485 568.825 57.899 3.098
-0.485 -0.392 873.378 87.473 5.001
-0.392 -0.299 1303.023 133.051 8.071
-0.299 -0.206 1923.189 194.355 11.926
-0.206 -0.114 2783.849 284.822 17.171
-0.114 -0.021 4029.906 423.636 23.948
-0.021 0.072 5839.356 632.439 33.704
0.072 0.165 8211.824 945.089 47.187
0.165 0.257 11216.722 1384.742 66.729
0.257 0.350 14933.760 1980.902 90.331
0.350 0.443 19622.646 2659.374 123.096
0.443 0.535 25747.015 3224.831 165.679
0.535 0.628 33694.012 3434.289 218.672
0.628 0.721 42856.787 3228.004 297.081
0.721 0.814 50592.666 2772.845 414.310
0.814 0.906 54065.777 2256.830 586.273
0.906 0.999 51988.555 1774.971 843.036
0.999 1.092 47688.777 1369.730 1209.150
1.092 1.185 43537.900 1045.534 1721.461
1.185 1.277 39135.037 810.543 2431.950
1.277 1.370 33974.400 629.977 3286.217
1.370 1.463 28956.403 484.517 3942.250
1.463 1.555 24391.982 355.494 3909.767
1.555 1.648 20440.316 256.545 3280.553
1.648 1.741 17233.628 184.224 2514.346
1.741 1.834 14505.177 127.113 1847.883
1.834 1.926 12262.122 88.184 1314.144
1.926 2.019 10440.750 59.860 908.919
2.019 2.112 8927.064 40.553 615.189
2.112 2.205 7697.023 27.949 409.202
2.205 2.297 6632.296 20.741 267.590
2.297 2.390 5691.919 16.619 179.646
2.390 2.483 4937.490 12.210 123.424
2.483 2.575 4319.536 10.124 83.470
2.575 2.668 3767.276 10.016 55.216
2.668 2.761 3254.505 7.544 36.696
2.761 2.854 2761.832 6.833 24.226
2.854 2.946 2315.980 6.778 15.234
2.946 3.039 1924.053 4.200 9.450
3.039 3.132 1595.887 2.602 5.872
3.132 3.225 1325.662 1.612 3.666
3.225 3.317 1092.453 0.999 2.316
3.317 3.410 900.414 0.619 1.508
3.410 3.503 736.938 0.383 1.051
3.503 3.595 598.671 0.238 0.840
3.595 3.688 474.846 0.147 0.825
3.688 3.781 376.515 0.091 1.003
3.781 3.874 305.130 0.057 1.415
3.874 3.966 253.351 0.035 2.157
3.966 4.059 204.098 0.022 2.035
4.059 4.152 167.783 0.013 1.261
4.152 4.245 142.055 0.008 0.781
4.245 4.337 116.659 0.005 0.484
4.337 4.430 95.888 0.003 0.300
4.430 4.523 79.042 0.002 0.186
4.523 4.615 61.507 0.001 0.115
4.615 4.708 48.295 0.001 0.071
4.708 4.801 42.493 0.000 0.044
4.801 4.894 37.985 0.000 0.027
4.894 4.986 31.213 0.000 0.017
4.986 5.079 27.028 0.000 0.011
5.079 5.172 21.806 0.000 0.007
5.172 5.265 17.737 0.000 0.004
5.265 5.357 16.716 0.000 0.003
5.357 5.450 15.503 0.000 0.002
5.450 5.543 11.353 0.000 0.001
5.543 5.635 7.923 0.000 0.001
5.635 5.728 6.343 0.000 0.000
5.728 5.821 5.030 0.000 0.000
5.821 5.914 3.611 0.000 0.000
5.914 6.006 3.036 0.000 0.000
6.006 6.099 3.170 0.000 0.000
6.099 6.192 3.484 0.000 0.000
6.192 6.285 2.655 0.000 0.000
6.285 6.377 2.447 0.000 0.000
6.377 6.470 2.810 0.000 0.000
6.470 6.563 2.452 0.000 0.000
6.563 6.655 1.548 0.000 0.000
6.655 6.748 1.007 0.000 0.000
6.748 6.841 0.700 0.000 0.000
6.841 6.934 0.557 0.000 0.000
6.934 7.026 0.543 0.000 0.000
7.026 7.119 0.657 0.000 0.000
7.119 7.212 0.924 0.000 0.000
7.212 7.305 1.407 0.000 0.000
7.305 7.397 2.219 0.000 0.000
7.397 7.490 1.909 0.000 0.000
