# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-4.288 -4.197 0.021 1.312 0.000
-4.197 -4.107 0.028 1.510 0.000
-4.107 -4.016 0.037 1.123 0.000
-4.016 -3.925 0.050 0.836 0.000
-3.925 -3.835 0.068 0.623 0.000
-3.835 -3.744 0.091 0.464 0.001
-3.744 -3.653 0.122 0.346 0.001
-3.653 -3.563 0.164 0.259 0.001
-3.563 -3.472 0.221 0.194 0.001
-3.472 -3.381 0.297 0.147 0.002
-3.381 -3.291 0.399 0.112 0.002
-3.291 -3.200 0.536 0.088 0.003
-3.200 -3.109 0.720 0.071 0.004
-3.109 -3.019 0.968 0.060 0.005
-3.019 -2.928 1.302 0.055 0.007
-2.928 -2.837 1.750 0.055 0.010
-2.837 -2.747 2.352 0.059 0.013
-2.747 -2.656 3.161 0.069 0.018
-2.656 -2.565 4.249 0.084 0.024
-2.565 -2.475 5.712 0.107 0.032
-2.475 -2.384 7.677 0.140 0.043
-2.384 -2.293 10.319 0.185 0.058
-2.293 -2.203 12.781 0.246 0.078
-2.203 -2.112 15.512 0.328 0.105
-2.112 -2.021 18.763 0.440 0.142
-2.021 -1.931 22.466 0.590 0.190
-1.931 -1.840 27.106 0.793 0.256
-1.840 -1.749 30.889 1.065 0.344
-1.749 -1.659 35.288 1.431 0.462
-1.659 -1.568 40.897 1.924 0.621
-1.568 -1.477 47.082 2.586 0.835
-1.477 -1.387 56.201 3.475 1.123
-1.387 -1.296 69.020 4.671 1.509
-1.296 -1.205 81.574 6.279 2.028
-1.205 -1.115 93.848 8.440 2.726
-1.115 -1.024 107.069 11.344 3.664
-1.024 -0.933 120.791 15.248 4.925
-0.933 -0.843 137.910 19.651 6.495
-0.843 -0.752 160.224 25.656 7.789
-0.752 -0.661 185.415 33.922 9.768
-0.661 -0.571 212.715 45.177 12.608
-0.571 -0.480 244.045 59.762 16.560
-0.480 -0.389 272.822 77.212 21.748
-0.389 -0.299 297.045 98.743 28.103
-0.299 -0.208 319.432 126.085 36.935
-0.208 -0.117 341.433 159.649 46.832
-0.117 -0.027 368.900 196.670 58.743
-0.027 0.064 397.960 233.969 72.099
0.064 0.155 438.933 263.160 87.989
0.155 0.245 487.089 280.036 107.184
0.245 0.336 543.531 277.908 132.975
0.336 0.427 614.331 266.452 166.382
0.427 0.517 710.025 250.773 207.882
0.517 0.608 848.286 234.541 254.802
0.608 0.699 1036.761 214.111 304.149
0.699 0.789 1291.131 192.684 353.986
0.789 0.880 1621.271 167.892 391.639
0.880 0.971 2027.462 143.455 427.318
0.971 1.061 2457.127 120.332 459.204
1.061 1.152 2749.346 97.527 487.334
1.152 1.243 2883.677 77.682 519.017
1.243 1.333 2887.894 61.909 553.304
1.333 1.424 2810.276 51.279 578.515
1.424 1.515 2702.363 41.899 576.067
1.515 1.605 2569.561 33.509 544.537
1.605 1.696 2456.825 26.705 481.559
1.696 1.787 2348.152 21.821 410.782
1.787 1.877 2227.384 18.438 336.874
1.877 1.968 2097.745 14.763 269.551
1.968 2.059 1972.871 11.376 212.955
2.059 2.149 1845.788 8.464 166.456
2.149 2.240 1725.356 6.297 127.987
2.240 2.331 1557.666 4.684 97.877
2.331 2.421 1318.295 3.485 73.968
2.421 2.512 1076.457 2.593 56.535
2.512 2.603 868.005 1.929 43.831
2.603 2.693 707.217 1.435 34.271
2.693 2.784 584.034 1.068 27.591
2.784 2.875 484.493 0.794 21.440
2.875 2.965 404.279 0.591 16.302
2.965 3.056 333.989 0.440 12.601
3.056 3.147 273.710 0.327 10.010
3.147 3.237 224.317 0.243 7.779
3.237 3.328 184.899 0.181 5.787
3.328 3.419 151.301 0.135 4.306
3.419 3.509 122.438 0.100 3.203
3.509 3.600 98.178 0.075 2.383
3.600 3.691 78.435 0.055 1.773
3.691 3.781 60.586 0.041 1.319
3.781 3.872 46.307 0.031 0.981
3.872 3.963 35.137 0.023 0.730
3.963 4.053 26.252 0.017 0.543
4.053 4.144 19.681 0.013 0.404
4.144 4.235 14.845 0.009 0.301
4.235 4.325 11.316 0.007 0.224
4.325 4.416 8.785 0.005 0.166
4.416 4.507 7.027 0.004 0.124
4.507 4.597 5.889 0.003 0.092
4.597 4.688 4.617 0.002 0.069
