# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-4.400 -4.297 2.961 0.000 0.000
-4.297 -4.194 3.431 0.001 0.001
-4.194 -4.091 4.382 0.001 0.001
-4.091 -3.988 4.440 0.001 0.001
-3.988 -3.885 3.920 0.002 0.002
-3.885 -3.782 3.949 0.003 0.003
-3.782 -3.679 4.533 0.005 0.004
-3.679 -3.576 5.462 0.007 0.005
-3.576 -3.473 6.086 0.010 0.008
-3.473 -3.370 7.562 0.014 0.011
-3.370 -3.267 9.437 0.020 0.016
-3.267 -3.164 11.944 0.029 0.023
-3.164 -3.061 16.126 0.043 0.034
-3.061 -2.958 21.041 0.062 0.049
-2.958 -2.855 21.851 0.090 0.071
-2.855 -2.752 22.468 0.131 0.104
-2.752 -2.648 24.434 0.189 0.150
-2.648 -2.545 28.331 0.275 0.218
-2.545 -2.442 32.725 0.399 0.317
-2.442 -2.339 35.617 0.579 0.459
-2.339 -2.236 36.626 0.840 0.667
-2.236 -2.133 34.935 1.219 0.967
-2.133 -2.030 33.511 1.768 1.404
-2.030 -1.927 35.953 2.566 2.037
-1.927 -1.824 39.762 2.476 1.833
-1.824 -1.721 41.321 2.612 1.646
-1.721 -1.618 45.276 3.114 1.690
-1.618 -1.515 51.116 4.052 1.970
-1.515 -1.412 58.720 5.559 2.527
-1.412 -1.309 65.518 7.845 3.438
-1.309 -1.206 76.863 11.230 4.831
-1.206 -1.103 85.738 16.190 6.902
-1.103 -1.000 94.782 22.883 9.940
-1.000 -0.897 107.193 31.967 13.924
-0.897 -0.794 127.355 45.532 18.952
-0.794 -0.691 150.728 65.008 26.636
-0.691 -0.588 185.489 91.915 38.055
-0.588 -0.485 235.444 128.835 53.170
-0.485 -0.382 294.426 178.927 72.816
-0.382 -0.279 367.996 247.837 98.445
-0.279 -0.176 434.618 327.496 129.184
-0.176 -0.073 496.442 404.438 166.377
-0.073 0.030 549.173 465.732 213.368
0.030 0.133 595.046 504.068 267.244
0.133 0.236 655.466 503.429 330.937
0.236 0.339 740.220 487.126 388.710
0.339 0.442 858.214 464.349 425.864
0.442 0.545 1016.191 423.761 428.376
0.545 0.648 1217.330 378.539 413.950
0.648 0.752 1471.230 324.467 377.644
0.752 0.855 1780.105 263.718 333.380
0.855 0.958 2146.968 205.980 288.696
0.958 1.061 2583.025 157.792 243.361
1.061 1.164 3071.211 122.484 205.741
1.164 1.267 3620.974 93.559 178.683
1.267 1.370 4217.681 72.466 157.711
1.370 1.473 4797.381 56.841 141.396
1.473 1.576 5355.467 43.722 126.931
1.576 1.679 5850.240 34.654 113.506
1.679 1.782 6295.801 25.110 101.483
1.782 1.885 6681.292 17.335 92.531
1.885 1.988 6997.463 11.990 86.167
1.988 2.091 7254.707 8.326 77.807
2.091 2.194 7410.741 5.829 71.132
2.194 2.297 7456.562 4.150 63.236
2.297 2.400 7402.608 3.052 52.189
2.400 2.503 7223.817 2.382 43.464
2.503 2.606 6980.817 2.047 34.874
2.606 2.709 6651.376 1.998 27.579
2.709 2.812 6235.821 2.229 21.865
2.812 2.915 5740.597 1.803 18.060
2.915 3.018 5231.189 1.243 15.042
3.018 3.121 4734.412 0.857 10.707
3.121 3.224 4259.306 0.590 7.379
3.224 3.327 3854.997 0.407 5.085
3.327 3.430 3517.245 0.280 3.505
3.430 3.533 3249.130 0.193 2.415
3.533 3.636 3071.453 0.133 1.665
3.636 3.739 2942.920 0.092 1.147
3.739 3.842 2852.792 0.063 0.791
3.842 3.945 2771.951 0.044 0.545
3.945 4.048 2660.356 0.030 0.376
4.048 4.152 2524.917 0.021 0.259
4.152 4.255 2330.780 0.014 0.178
4.255 4.358 2047.750 0.010 0.123
4.358 4.461 1715.028 0.007 0.085
4.461 4.564 1353.500 0.005 0.058
4.564 4.667 1014.185 0.003 0.040
4.667 4.770 739.965 0.002 0.028
4.770 4.873 531.577 0.002 0.019
4.873 4.976 378.272 0.001 0.013
4.976 5.079 267.783 0.001 0.009
5.079 5.182 188.071 0.001 0.006
5.182 5.285 131.619 0.000 0.004
5.285 5.388 91.904 0.000 0.003
5.388 5.491 64.093 0.000 0.002
5.491 5.594 44.732 0.000 0.001
5.594 5.697 31.643 0.000 0.001
5.697 5.800 22.188 0.000 0.001
