# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-7.190 -6.994 0.506 0.000 0.105
-6.994 -6.798 0.782 0.000 0.162
-6.798 -6.603 1.208 0.000 0.250
-6.603 -6.407 1.395 0.001 0.386
-6.407 -6.211 1.347 0.001 0.596
-6.211 -6.015 1.559 0.002 0.920
-6.015 -5.820 1.427 0.002 1.421
-5.820 -5.624 1.236 0.004 2.194
-5.624 -5.428 1.282 0.006 3.199
-5.428 -5.232 1.575 0.009 3.615
-5.232 -5.037 2.169 0.014 4.163
-5.037 -4.841 3.085 0.022 5.510
-4.841 -4.645 3.700 0.034 7.914
-4.645 -4.449 4.289 0.052 10.782
-4.449 -4.254 5.055 0.080 14.810
-4.254 -4.058 5.373 0.124 20.201
-4.058 -3.862 5.789 0.192 25.466
-3.862 -3.666 6.162 0.296 31.359
-3.666 -3.471 6.853 0.458 37.893
-3.471 -3.275 8.739 0.707 46.161
-3.275 -3.079 10.436 1.091 57.705
-3.079 -2.883 12.099 1.686 71.965
-2.883 -2.688 14.735 2.603 87.755
-2.688 -2.492 15.487 4.020 107.994
-2.492 -2.296 16.464 6.209 130.197
-2.296 -2.100 20.457 9.590 156.084
-2.100 -1.905 27.233 14.811 184.628
-1.905 -1.709 37.034 22.874 204.590
-1.709 -1.513 50.109 34.878 228.100
-1.513 -1.317 69.903 51.916 256.204
-1.317 -1.122 98.309 77.946 288.995
-1.122 -0.926 134.495 117.382 323.818
-0.926 -0.730 179.794 177.992 360.735
-0.730 -0.534 237.161 268.584 391.757
-0.534 -0.338 297.950 398.896 412.081
-0.338 -0.143 361.662 573.608 433.595
-0.143 0.053 438.036 785.111 455.607
0.053 0.249 535.998 976.836 475.438
0.249 0.445 636.865 1104.510 492.414
0.445 0.640 754.851 1144.859 505.660
0.640 0.836 913.296 1081.692 516.471
0.836 1.032 1147.688 953.059 528.365
1.032 1.228 1516.703 805.254 519.911
1.228 1.423 2071.723 663.975 487.641
1.423 1.619 2887.589 530.667 430.982
1.619 1.815 4049.944 419.460 351.154
1.815 2.011 5651.139 319.564 272.695
2.011 2.206 7694.571 233.414 198.982
2.206 2.402 9814.121 167.879 140.231
2.402 2.598 11402.025 120.157 96.172
2.598 2.794 12268.653 87.464 64.608
2.794 2.989 12308.253 64.731 41.833
2.989 3.185 11675.399 49.028 27.086
3.185 3.381 10724.637 34.564 17.538
3.381 3.577 9715.746 22.764 11.356
3.577 3.772 8858.378 15.077 7.353
3.772 3.968 8195.019 10.283 4.761
3.968 4.164 7686.181 7.463 3.083
4.164 4.360 7249.046 6.075 1.996
4.360 4.555 6771.774 5.186 1.292
4.555 4.751 6292.935 4.010 0.837
4.751 4.947 5823.174 3.602 0.542
4.947 5.143 5344.691 3.219 0.351
5.143 5.338 4839.650 3.145 0.227
5.338 5.534 4329.882 2.608 0.147
5.534 5.730 3831.497 1.689 0.095
5.730 5.926 3325.132 1.094 0.062
5.926 6.122 2842.697 0.708 0.040
6.122 6.317 2397.448 0.458 0.026
6.317 6.513 2013.045 0.297 0.017
6.513 6.709 1685.695 0.192 0.011
6.709 6.905 1416.271 0.124 0.007
6.905 7.100 1191.382 0.081 0.005
7.100 7.296 996.152 0.052 0.003
7.296 7.492 824.322 0.034 0.002
7.492 7.688 676.753 0.022 0.001
7.688 7.883 553.203 0.014 0.001
7.883 8.079 455.165 0.009 0.001
8.079 8.275 373.082 0.006 0.000
8.275 8.471 303.064 0.004 0.000
8.471 8.666 245.922 0.002 0.000
8.666 8.862 203.538 0.002 0.000
8.862 9.058 170.652 0.001 0.000
9.058 9.254 143.687 0.001 0.000
9.254 9.449 121.207 0.000 0.000
9.449 9.645 101.359 0.000 0.000
9.645 9.841 79.682 0.000 0.000
9.841 10.037 61.679 0.000 0.000
10.037 10.232 48.142 0.000 0.000
10.232 10.428 38.042 0.000 0.000
10.428 10.624 31.002 0.000 0.000
10.624 10.820 25.712 0.000 0.000
10.820 11.015 21.109 0.000 0.000
11.015 11.211 16.292 0.000 0.000
11.211 11.407 12.576 0.000 0.000
11.407 11.603 9.077 0.000 0.000
11.603 11.798 6.791 0.000 0.000
11.798 11.994 4.947 0.000 0.000
11.994 12.190 3.666 0.000 0.000
