# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-5.598 -5.497 1.369 0.000 0.042
-5.497 -5.396 1.876 0.000 0.057
-5.396 -5.295 1.585 0.000 0.078
-5.295 -5.194 1.441 0.000 0.107
-5.194 -5.093 1.440 0.000 0.147
-5.093 -4.992 1.583 0.000 0.201
-4.992 -4.891 1.884 0.000 0.276
-4.891 -4.790 2.374 0.000 0.378
-4.790 -4.689 2.223 0.000 0.517
-4.689 -4.588 2.180 0.000 0.709
-4.588 -4.487 2.354 0.000 0.971
-4.487 -4.386 2.763 0.000 1.331
-4.386 -4.285 3.431 0.000 1.333
-4.285 -4.184 3.462 0.000 0.974
-4.184 -4.083 3.298 0.000 0.711
-4.083 -3.982 3.019 0.001 0.519
-3.982 -3.882 3.041 0.001 0.379
-3.882 -3.781 3.368 0.001 0.277
-3.781 -3.680 4.031 0.002 0.203
-3.680 -3.579 5.097 0.002 0.149
-3.579 -3.478 6.672 0.003 0.110
-3.478 -3.377 8.244 0.004 0.082
-3.377 -3.276 9.369 0.006 0.062
-3.276 -3.175 11.388 0.008 0.048
-3.175 -3.074 14.545 0.011 0.040
-3.074 -2.973 17.773 0.015 0.035
-2.973 -2.872 17.560 0.021 0.033
-2.872 -2.771 16.789 0.029 0.035
-2.771 -2.670 16.606 0.039 0.041
-2.670 -2.569 16.955 0.054 0.050
-2.569 -2.468 18.241 0.074 0.065
-2.468 -2.367 20.140 0.101 0.086
-2.367 -2.266 21.715 0.138 0.116
-2.266 -2.165 23.148 0.189 0.157
-2.165 -2.064 25.232 0.259 0.214
-2.064 -1.963 25.479 0.355 0.292
-1.963 -1.862 26.991 0.487 0.399
-1.862 -1.761 28.534 0.667 0.546
-1.761 -1.660 30.059 0.914 0.748
-1.660 -1.559 31.791 1.252 1.025
-1.559 -1.458 32.761 1.715 1.404
-1.458 -1.357 35.118 2.350 1.923
-1.357 -1.256 38.245 3.220 2.634
-1.256 -1.155 42.215 4.411 3.608
-1.155 -1.054 48.833 6.043 4.943
-1.054 -0.953 57.305 8.278 6.223
-0.953 -0.852 64.504 11.341 7.688
-0.852 -0.751 70.953 15.537 9.921
-0.751 -0.650 80.862 20.372 12.354
-0.650 -0.550 94.437 26.211 15.448
-0.550 -0.449 114.329 34.134 18.791
-0.449 -0.348 137.197 43.911 23.527
-0.348 -0.247 163.908 54.667 29.450
-0.247 -0.146 191.153 68.746 36.363
-0.146 -0.045 219.206 84.395 46.217
-0.045 0.056 237.551 100.278 59.722
0.056 0.157 261.759 113.605 78.311
0.157 0.258 286.502 120.680 99.860
0.258 0.359 315.238 126.135 118.403
0.359 0.460 354.667 126.144 133.096
0.460 0.561 405.307 120.713 143.716
0.561 0.662 461.722 112.317 142.572
0.662 0.763 536.253 100.273 130.877
0.763 0.864 622.642 88.476 117.454
0.864 0.965 724.349 77.528 106.401
0.965 1.066 835.603 64.682 98.201
1.066 1.167 964.997 53.619 90.421
1.167 1.268 1104.096 41.402 79.578
1.268 1.369 1253.189 32.637 68.400
1.369 1.470 1420.990 25.922 57.153
1.470 1.571 1615.034 20.221 47.909
1.571 1.672 1849.720 15.401 39.893
1.672 1.773 2121.133 12.094 34.350
1.773 1.874 2412.255 9.548 29.229
1.874 1.975 2687.244 7.418 25.662
1.975 2.076 2944.335 6.029 22.889
2.076 2.177 3167.292 4.790 20.416
2.177 2.278 3382.091 3.496 18.177
2.278 2.379 3596.153 2.552 15.563
2.379 2.480 3779.744 1.863 13.249
2.480 2.581 3932.754 1.360 10.574
2.581 2.682 4076.506 0.993 8.217
2.682 2.782 4195.289 0.725 6.681
2.782 2.883 4260.300 0.529 5.231
2.883 2.984 4236.838 0.386 3.900
2.984 3.085 4066.016 0.282 2.958
3.085 3.186 3701.019 0.206 2.312
3.186 3.287 3158.450 0.150 1.897
3.287 3.388 2493.786 0.110 1.672
3.388 3.489 1887.719 0.080 1.613
3.489 3.590 1407.100 0.058 1.716
3.590 3.691 1040.906 0.043 1.950
3.691 3.792 767.141 0.031 1.423
3.792 3.893 563.457 0.023 1.039
3.893 3.994 414.327 0.017 0.758
3.994 4.095 304.395 0.012 0.554
4.095 4.196 224.411 0.009 0.404
4.196 4.297 165.642 0.006 0.295
4.297 4.398 121.547 0.005 0.215
