# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-2.263 -2.198 1.954 0.034 0.004
-2.198 -2.133 2.057 0.045 0.006
-2.133 -2.068 1.653 0.059 0.008
-2.068 -2.003 1.377 0.078 0.010
-2.003 -1.938 1.207 0.102 0.013
-1.938 -1.874 1.131 0.135 0.017
-1.874 -1.809 1.141 0.178 0.023
-1.809 -1.744 1.240 0.235 0.030
-1.744 -1.679 1.435 0.310 0.040
-1.679 -1.614 1.741 0.409 0.052
-1.614 -1.549 2.181 0.540 0.069
-1.549 -1.484 2.790 0.712 0.091
-1.484 -1.419 3.614 0.939 0.120
-1.419 -1.354 4.718 1.239 0.158
-1.354 -1.289 6.186 1.635 0.209
-1.289 -1.224 8.131 2.157 0.275
-1.224 -1.160 10.705 2.845 0.363
-1.160 -1.095 14.107 3.681 0.479
-1.095 -1.030 18.156 3.678 0.632
-1.030 -0.965 20.866 3.960 0.834
-0.965 -0.900 23.617 4.547 1.100
-0.900 -0.835 28.125 5.486 1.451
-0.835 -0.770 33.678 6.849 1.914
-0.770 -0.705 41.833 8.741 2.526
-0.705 -0.640 52.046 11.308 3.332
-0.640 -0.575 63.881 14.749 4.395
-0.575 -0.510 79.540 19.310 5.799
-0.510 -0.446 98.876 24.185 7.650
-0.446 -0.381 124.094 30.929 10.092
-0.381 -0.316 157.758 40.061 13.314
-0.316 -0.251 202.260 51.090 17.565
-0.251 -0.186 257.635 63.346 22.320
-0.186 -0.121 326.665 76.356 27.268
-0.121 -0.056 410.553 91.199 33.888
-0.056 0.009 507.492 107.639 42.373
0.009 0.074 619.181 122.983 53.198
0.074 0.139 756.241 137.014 66.194
0.139 0.204 930.095 149.051 82.743
0.204 0.268 1153.689 160.376 103.695
0.268 0.333 1429.510 162.038 126.771
0.333 0.398 1768.841 151.602 153.220
0.398 0.463 2152.205 141.078 179.003
0.463 0.528 2478.803 131.838 206.308
0.528 0.593 2690.740 122.297 233.708
0.593 0.658 2783.832 110.582 260.060
0.658 0.723 2800.094 99.446 287.999
0.723 0.788 2752.214 88.396 324.466
0.788 0.853 2679.440 76.836 360.228
0.853 0.918 2574.524 64.930 395.571
0.918 0.982 2458.512 54.838 419.421
0.982 1.047 2354.094 44.772 424.162
1.047 1.112 2269.906 37.139 421.185
1.112 1.177 2196.305 31.136 409.642
1.177 1.242 2106.436 24.425 392.015
1.242 1.307 2004.563 19.197 365.025
1.307 1.372 1898.065 15.452 330.323
1.372 1.437 1767.601 12.901 293.322
1.437 1.502 1624.064 10.406 259.222
1.502 1.567 1457.923 8.466 227.010
1.567 1.632 1281.871 7.179 194.178
1.632 1.696 1111.583 6.011 164.381
1.696 1.761 958.687 4.557 139.052
1.761 1.826 827.303 3.454 114.024
1.826 1.891 704.745 2.618 91.554
1.891 1.956 598.459 1.985 74.965
1.956 2.021 510.166 1.504 62.025
2.021 2.086 435.954 1.140 51.622
2.086 2.151 376.365 0.864 41.499
2.151 2.216 322.934 0.655 33.410
2.216 2.281 276.141 0.497 26.952
2.281 2.346 232.907 0.376 21.149
2.346 2.410 194.800 0.285 16.790
2.410 2.475 163.934 0.216 12.727
2.475 2.540 135.892 0.164 9.647
2.540 2.605 113.063 0.124 7.313
2.605 2.670 93.762 0.094 5.543
2.670 2.735 76.773 0.071 4.202
2.735 2.800 64.137 0.054 3.185
2.800 2.865 53.407 0.041 2.414
2.865 2.930 44.995 0.031 1.830
2.930 2.995 38.881 0.024 1.387
2.995 3.060 33.353 0.018 1.051
3.060 3.124 28.591 0.014 0.797
3.124 3.189 23.725 0.010 0.604
3.189 3.254 20.277 0.008 0.458
3.254 3.319 18.396 0.006 0.347
3.319 3.384 15.904 0.004 0.263
3.384 3.449 14.289 0.003 0.199
3.449 3.514 13.020 0.003 0.151
3.514 3.579 12.300 0.002 0.115
3.579 3.644 10.289 0.001 0.087
3.644 3.709 8.608 0.001 0.066
3.709 3.774 6.746 0.001 0.050
3.774 3.838 5.406 0.001 0.038
3.838 3.903 4.483 0.000 0.029
3.903 3.968 3.906 0.000 0.022
3.968 4.033 3.632 0.000 0.016
4.033 4.098 3.637 0.000 0.012
4.098 4.163 2.842 0.000 0.009
