# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-29.480 -29.088 0.432 0.000 0.000
-29.088 -28.697 0.298 0.000 0.000
-28.697 -28.305 0.233 0.000 0.000
-28.305 -27.914 0.223 0.000 0.000
-27.914 -27.522 0.263 0.000 0.000
-27.522 -27.131 0.364 0.000 0.000
-27.131 -26.739 0.549 0.000 0.000
-26.739 -26.348 0.861 0.000 0.000
-26.348 -25.956 1.159 0.000 0.000
-25.956 -25.565 0.752 0.000 0.000
-25.565 -25.173 0.517 0.000 0.000
-25.173 -24.782 0.403 0.000 0.000
-24.782 -24.390 0.381 0.000 0.000
-24.390 -23.999 0.447 0.000 0.000
-23.999 -23.607 0.616 0.000 0.000
-23.607 -23.216 0.927 0.000 0.000
-23.216 -22.824 1.056 0.000 0.000
-22.824 -22.433 0.684 0.000 0.000
-22.433 -22.041 0.429 0.000 0.000
-22.041 -21.650 0.273 0.000 0.000
-21.650 -21.258 0.180 0.000 0.000
-21.258 -20.867 0.129 0.000 0.000
-20.867 -20.475 0.107 0.000 0.000
-20.475 -20.084 0.110 0.000 0.000
-20.084 -19.692 0.138 0.000 0.000
-19.692 -19.301 0.198 0.000 0.000
-19.301 -18.909 0.304 0.000 0.000
-18.909 -18.518 0.480 0.000 0.000
-18.518 -18.126 0.613 0.000 0.000
-18.126 -17.735 0.454 0.000 0.000
-17.735 -17.343 0.400 0.000 0.000
-17.343 -16.952 0.438 0.000 0.000
-16.952 -16.560 0.576 0.000 0.000
-16.560 -16.168 0.848 0.000 0.000
-16.168 -15.777 1.067 0.000 0.000
-15.777 -15.385 1.197 0.000 0.000
-15.385 -14.994 1.340 0.000 0.000
-14.994 -14.602 1.471 0.000 0.000
-14.602 -14.211 1.941 0.000 0.000
-14.211 -13.819 2.859 0.000 0.000
-13.819 -13.428 3.802 0.000 0.000
-13.428 -13.036 3.296 0.000 0.000
-13.036 -12.645 2.604 0.000 0.000
-12.645 -12.253 2.309 0.001 0.000
-12.253 -11.862 2.060 0.001 0.000
-11.862 -11.470 2.183 0.002 0.000
-11.470 -11.079 2.654 0.003 0.000
-11.079 -10.687 2.757 0.004 0.001
-10.687 -10.296 3.215 0.007 0.001
-10.296 -9.904 4.065 0.011 0.002
-9.904 -9.513 5.851 0.018 0.002
-9.513 -9.121 8.405 0.030 0.004
-9.121 -8.730 11.720 0.048 0.006
-8.730 -8.338 17.185 0.077 0.010
-8.338 -7.947 25.510 0.124 0.016
-7.947 -7.555 36.493 0.199 0.027
-7.555 -7.164 53.431 0.321 0.043
-7.164 -6.772 77.678 0.516 0.069
-6.772 -6.381 111.490 0.830 0.110
-6.381 -5.989 162.158 1.336 0.178
-5.989 -5.598 236.422 2.150 0.286
-5.598 -5.206 345.634 3.459 0.460
-5.206 -4.815 500.661 5.567 0.741
-4.815 -4.423 724.323 8.958 1.192
-4.423 -4.032 1042.742 14.416 1.918
-4.032 -3.640 1485.453 22.790 3.086
-3.640 -3.248 2118.337 36.243 4.967
-3.248 -2.857 3032.658 58.056 7.993
-2.857 -2.465 4373.537 93.258 12.862
-2.465 -2.074 6376.622 149.646 20.359
-2.074 -1.682 9252.167 240.093 31.243
-1.682 -1.291 13137.715 384.448 47.831
-1.291 -0.899 18071.866 613.273 74.060
-0.899 -0.508 23318.434 955.841 115.611
-0.508 -0.116 23988.486 1303.292 178.001
-0.116 0.275 16961.864 1190.841 269.670
0.275 0.667 10691.635 833.016 404.613
0.667 1.058 6685.886 541.812 586.452
1.058 1.450 4177.701 348.414 813.966
1.450 1.841 2613.101 222.560 1011.217
1.841 2.233 1638.278 141.343 1086.248
2.233 2.624 1031.097 90.978 1046.000
2.624 3.016 652.432 58.315 936.915
3.016 3.407 415.291 37.138 801.815
3.407 3.799 266.289 24.005 653.162
3.799 4.190 172.138 16.150 501.320
4.190 4.582 112.243 10.530 372.957
4.582 4.973 73.887 6.724 274.663
4.973 5.365 47.767 4.458 200.393
5.365 5.756 32.161 3.104 143.629
5.756 6.148 22.727 1.993 101.026
6.148 6.539 17.111 1.341 70.623
6.539 6.931 11.647 0.999 48.904
6.931 7.322 8.077 0.887 33.757
7.322 7.714 6.198 0.811 22.063
7.714 8.105 5.120 0.504 14.035
8.105 8.497 4.114 0.313 8.912
8.497 8.888 2.737 0.194 5.844
8.888 9.280 1.701 0.121 3.781
