# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-2.297 -2.197 80.297 0.387 9.469
-2.197 -2.097 113.627 0.553 13.532
-2.097 -1.997 160.950 0.790 19.340
-1.997 -1.897 227.473 1.129 27.639
-1.897 -1.797 322.768 1.613 38.211
-1.797 -1.697 457.981 2.306 50.699
-1.697 -1.597 649.614 3.295 68.393
-1.597 -1.497 919.815 4.709 93.438
-1.497 -1.398 1299.196 6.730 127.965
-1.398 -1.298 1839.666 9.618 173.232
-1.298 -1.198 2602.626 13.474 232.039
-1.198 -1.098 3665.541 18.049 306.936
-1.098 -0.998 5118.310 24.950 395.932
-0.998 -0.898 7097.492 35.065 483.451
-0.898 -0.798 9684.759 49.172 528.692
-0.798 -0.698 11153.505 68.860 507.982
-0.698 -0.598 10606.847 95.358 464.005
-0.598 -0.498 9346.618 124.724 406.227
-0.498 -0.398 8166.134 158.556 356.569
-0.398 -0.298 7179.582 202.351 317.935
-0.298 -0.198 6332.969 254.690 299.622
-0.198 -0.098 5599.339 313.944 297.459
-0.098 0.002 5014.239 375.708 310.326
0.002 0.102 4500.880 450.204 326.774
0.102 0.201 4033.923 538.884 335.362
0.201 0.301 3607.958 634.935 324.497
0.301 0.401 3224.750 708.487 295.200
0.401 0.501 2880.139 744.845 257.481
0.501 0.601 2560.521 740.189 225.410
0.601 0.701 2283.281 700.571 198.641
0.701 0.801 2045.622 639.030 167.698
0.801 0.901 1842.451 550.832 139.441
0.901 1.001 1661.573 454.701 115.790
1.001 1.101 1494.871 364.120 94.123
1.101 1.201 1350.592 290.787 74.541
1.201 1.301 1229.084 227.529 58.490
1.301 1.401 1125.509 175.764 45.686
1.401 1.501 1029.081 132.792 37.345
1.501 1.601 936.367 97.827 29.406
1.601 1.701 850.041 71.040 22.420
1.701 1.801 774.474 52.387 17.935
1.801 1.900 713.370 39.667 15.614
1.900 2.000 643.674 29.286 13.177
2.000 2.100 576.373 21.731 11.226
2.100 2.200 511.798 15.508 9.054
2.200 2.300 453.008 10.851 6.768
2.300 2.400 401.853 7.593 5.354
2.400 2.500 364.116 5.313 4.631
2.500 2.600 327.918 3.718 4.235
2.600 2.700 296.687 2.601 3.364
2.700 2.800 268.876 1.820 2.927
2.800 2.900 242.553 1.274 2.867
2.900 3.000 214.300 0.891 2.275
3.000 3.100 189.844 0.624 1.592
3.100 3.200 169.102 0.436 1.114
3.200 3.300 152.101 0.305 0.779
3.300 3.400 135.370 0.214 0.545
3.400 3.499 121.294 0.149 0.382
3.499 3.599 107.522 0.105 0.267
3.599 3.699 93.962 0.073 0.187
3.699 3.799 84.078 0.051 0.131
3.799 3.899 76.796 0.036 0.091
3.899 3.999 69.187 0.025 0.064
3.999 4.099 63.483 0.018 0.045
4.099 4.199 60.406 0.012 0.031
4.199 4.299 56.967 0.009 0.022
4.299 4.399 52.213 0.006 0.015
4.399 4.499 48.859 0.004 0.011
4.499 4.599 43.456 0.003 0.008
4.599 4.699 38.839 0.002 0.005
4.699 4.799 33.538 0.001 0.004
4.799 4.899 28.946 0.001 0.003
4.899 4.999 25.079 0.001 0.002
4.999 5.099 22.547 0.000 0.001
5.099 5.198 21.875 0.000 0.001
5.198 5.298 20.099 0.000 0.001
5.298 5.398 18.357 0.000 0.000
5.398 5.498 16.890 0.000 0.000
5.498 5.598 16.176 0.000 0.000
5.598 5.698 15.144 0.000 0.000
5.698 5.798 15.210 0.000 0.000
5.798 5.898 16.184 0.000 0.000
5.898 5.998 15.846 0.000 0.000
5.998 6.098 14.850 0.000 0.000
6.098 6.198 12.528 0.000 0.000
6.198 6.298 10.114 0.000 0.000
6.298 6.398 8.425 0.000 0.000
6.398 6.498 7.118 0.000 0.000
6.498 6.598 6.727 0.000 0.000
6.598 6.698 6.450 0.000 0.000
6.698 6.797 5.930 0.000 0.000
6.797 6.897 5.435 0.000 0.000
6.897 6.997 4.372 0.000 0.000
6.997 7.097 3.840 0.000 0.000
7.097 7.197 3.803 0.000 0.000
7.197 7.297 3.359 0.000 0.000
7.297 7.397 2.959 0.000 0.000
7.397 7.497 2.941 0.000 0.000
7.497 7.597 2.175 0.000 0.000
