# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-12.420 -12.193 1.344 0.000 0.000
-12.193 -11.967 1.712 0.000 0.000
-11.967 -11.740 1.919 0.000 0.000
-11.740 -11.513 2.564 0.000 0.000
-11.513 -11.287 3.277 0.000 0.000
-11.287 -11.060 3.810 0.000 0.000
-11.060 -10.833 3.318 0.000 0.000
-10.833 -10.607 2.899 0.000 0.000
-10.607 -10.380 3.144 0.000 0.000
-10.380 -10.153 4.111 0.000 0.000
-10.153 -9.927 5.829 0.000 0.000
-9.927 -9.700 7.873 0.000 0.000
-9.700 -9.473 8.838 0.000 0.000
-9.473 -9.247 10.891 0.000 0.000
-9.247 -9.020 14.315 0.000 0.000
-9.020 -8.793 16.940 0.000 0.000
-8.793 -8.567 20.320 0.000 0.000
-8.567 -8.340 25.839 0.000 0.000
-8.340 -8.113 32.641 0.000 0.000
-8.113 -7.887 39.458 0.000 0.000
-7.887 -7.660 49.116 0.000 0.000
-7.660 -7.433 64.700 0.000 0.000
-7.433 -7.207 85.384 0.000 0.000
-7.207 -6.980 107.834 0.000 0.000
-6.980 -6.753 139.047 0.000 0.000
-6.753 -6.527 178.184 0.001 0.000
-6.527 -6.300 232.754 0.001 0.000
-6.300 -6.073 298.507 0.001 0.000
-6.073 -5.847 372.820 0.002 0.000
-5.847 -5.620 444.778 0.004 0.000
-5.620 -5.393 504.788 0.006 0.000
-5.393 -5.167 546.506 0.009 0.000
-5.167 -4.940 585.861 0.015 0.000
-4.940 -4.713 628.922 0.024 0.000
-4.713 -4.487 699.610 0.038 0.001
-4.487 -4.260 802.362 0.061 0.001
-4.260 -4.033 944.284 0.098 0.002
-4.033 -3.807 1156.709 0.158 0.003
-3.807 -3.580 1437.483 0.253 0.004
-3.580 -3.353 1804.880 0.407 0.007
-3.353 -3.127 2305.969 0.654 0.012
-3.127 -2.900 2997.475 1.051 0.019
-2.900 -2.673 4006.074 1.689 0.030
-2.673 -2.447 5412.036 2.714 0.048
-2.447 -2.220 7301.717 4.362 0.077
-2.220 -1.993 9754.207 7.010 0.124
-1.993 -1.767 12870.516 11.266 0.200
-1.767 -1.540 16774.322 17.462 0.321
-1.540 -1.313 20740.694 27.301 0.516
-1.313 -1.087 22824.755 43.399 0.829
-1.087 -0.860 21998.536 69.448 1.333
-0.860 -0.633 20188.382 111.421 2.142
-0.633 -0.407 18374.965 177.534 3.442
-0.407 -0.180 16179.105 281.795 5.122
-0.180 0.047 13748.004 433.669 6.746
0.047 0.273 11519.114 630.479 8.521
0.273 0.500 9597.307 840.399 11.211
0.500 0.727 7958.103 1003.012 15.506
0.727 0.953 6572.975 1074.321 22.487
0.953 1.180 5354.943 1083.066 34.147
1.180 1.407 4289.176 1045.146 51.465
1.407 1.633 3362.042 957.386 75.164
1.633 1.860 2600.584 842.278 104.855
1.860 2.087 2015.369 703.001 150.011
2.087 2.313 1560.723 565.051 208.517
2.313 2.540 1209.290 439.252 295.568
2.540 2.767 933.043 333.239 422.095
2.767 2.993 744.912 251.292 580.662
2.993 3.220 596.619 185.144 760.097
3.220 3.447 482.069 135.403 941.474
3.447 3.673 391.038 99.043 1095.397
3.673 3.900 320.901 71.708 1194.618
3.900 4.127 267.511 52.167 1202.939
4.127 4.353 228.299 37.586 1118.317
4.353 4.580 195.396 25.735 970.237
4.580 4.807 170.796 16.777 801.387
4.807 5.033 147.703 10.878 626.377
5.033 5.260 129.825 7.300 469.459
5.260 5.487 111.791 4.554 344.347
5.487 5.713 95.115 2.854 253.076
5.713 5.940 80.018 1.807 185.838
5.940 6.167 63.284 1.175 139.165
6.167 6.393 50.744 0.812 103.918
6.393 6.620 40.539 0.635 76.731
6.620 6.847 33.697 0.604 55.730
6.847 7.073 29.772 0.712 40.473
7.073 7.300 25.092 0.982 29.468
7.300 7.527 19.728 0.838 20.672
7.527 7.753 15.338 0.521 13.463
7.753 7.980 12.586 0.324 8.696
7.980 8.207 9.961 0.202 5.411
8.207 8.433 9.064 0.126 3.367
8.433 8.660 7.953 0.078 2.095
8.660 8.887 6.687 0.049 1.304
8.887 9.113 5.310 0.030 0.811
9.113 9.340 4.010 0.019 0.505
9.340 9.567 3.111 0.012 0.314
9.567 9.793 2.442 0.007 0.195
9.793 10.020 1.832 0.005 0.122
