# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-3.377 -3.298 2.583 0.002 0.000
-3.298 -3.218 2.788 0.003 0.000
-3.218 -3.139 2.153 0.005 0.000
-3.139 -3.060 2.003 0.007 0.000
-3.060 -2.980 2.305 0.012 0.000
-2.980 -2.901 3.126 0.019 0.000
-2.901 -2.822 4.652 0.030 0.000
-2.822 -2.742 7.225 0.048 0.000
-2.742 -2.663 7.835 0.076 0.001
-2.663 -2.584 6.792 0.122 0.001
-2.584 -2.504 5.835 0.195 0.002
-2.504 -2.425 6.194 0.312 0.003
-2.425 -2.346 6.757 0.499 0.005
-2.346 -2.266 7.217 0.799 0.008
-2.266 -2.187 7.872 1.279 0.013
-2.187 -2.108 8.918 2.047 0.020
-2.108 -2.028 10.245 3.276 0.032
-2.028 -1.949 9.955 5.242 0.051
-1.949 -1.870 9.880 8.390 0.082
-1.870 -1.790 11.232 13.429 0.132
-1.790 -1.711 12.416 20.917 0.211
-1.711 -1.632 13.588 30.853 0.337
-1.632 -1.552 14.321 41.735 0.540
-1.552 -1.473 15.802 56.670 0.864
-1.473 -1.394 19.830 80.151 1.382
-1.394 -1.314 23.987 114.962 2.212
-1.314 -1.235 30.790 168.002 3.541
-1.235 -1.156 41.419 256.903 5.667
-1.156 -1.076 50.737 392.286 9.070
-1.076 -0.997 59.458 597.111 14.516
-0.997 -0.918 73.456 900.805 20.677
-0.918 -0.838 93.996 1307.851 31.190
-0.838 -0.759 125.490 1859.285 48.473
-0.759 -0.680 164.528 2470.899 72.008
-0.680 -0.600 220.127 3074.992 107.872
-0.600 -0.521 304.448 3511.223 161.270
-0.521 -0.442 427.342 3696.242 237.905
-0.442 -0.362 594.192 3693.273 337.259
-0.362 -0.283 850.339 3528.884 462.123
-0.283 -0.204 1232.396 3278.687 633.073
-0.204 -0.124 1805.822 2940.366 872.003
-0.124 -0.045 2643.821 2541.305 1207.942
-0.045 0.034 3893.138 2146.789 1695.277
0.034 0.114 5759.812 1763.983 2350.423
0.114 0.193 8618.284 1423.781 3242.045
0.193 0.272 13077.477 1114.398 4450.461
0.272 0.352 20054.360 857.885 5983.591
0.352 0.431 30948.869 643.799 7295.667
0.431 0.510 47429.280 479.251 7645.026
0.510 0.590 71153.167 356.670 7025.737
0.590 0.669 104922.149 257.101 5752.524
0.669 0.748 118757.876 174.966 4245.545
0.748 0.828 88392.159 114.353 2851.953
0.828 0.907 59164.520 74.625 1867.942
0.907 0.986 38639.017 49.193 1220.205
0.986 1.066 25068.254 32.502 800.532
1.066 1.145 16231.372 22.629 523.492
1.145 1.224 10536.420 16.519 337.447
1.224 1.304 6857.094 11.627 213.222
1.304 1.383 4495.438 7.560 134.738
1.383 1.462 2964.918 5.196 84.606
1.462 1.542 1964.051 4.002 53.534
1.542 1.621 1308.833 3.711 34.523
1.621 1.700 879.158 3.844 23.290
1.700 1.780 595.113 2.402 14.735
1.780 1.859 403.278 1.501 9.207
1.859 1.938 276.478 0.938 5.752
1.938 2.018 195.560 0.586 3.594
2.018 2.097 137.805 0.366 2.246
2.097 2.176 99.469 0.229 1.403
2.176 2.256 74.371 0.143 0.877
2.256 2.335 59.661 0.089 0.548
2.335 2.414 50.392 0.056 0.342
2.414 2.494 39.248 0.035 0.214
2.494 2.573 33.229 0.022 0.134
2.573 2.652 29.712 0.014 0.083
2.652 2.732 27.973 0.009 0.052
2.732 2.811 25.605 0.005 0.033
2.811 2.890 25.014 0.003 0.020
2.890 2.970 22.678 0.002 0.013
2.970 3.049 22.260 0.001 0.008
3.049 3.128 20.765 0.001 0.005
3.128 3.208 16.538 0.001 0.003
3.208 3.287 15.239 0.000 0.002
3.287 3.366 12.550 0.000 0.001
3.366 3.446 9.266 0.000 0.001
3.446 3.525 7.987 0.000 0.000
3.525 3.604 6.992 0.000 0.000
3.604 3.684 6.273 0.000 0.000
3.684 3.763 5.968 0.000 0.000
3.763 3.842 5.187 0.000 0.000
3.842 3.922 5.574 0.000 0.000
3.922 4.001 6.110 0.000 0.000
4.001 4.080 4.798 0.000 0.000
4.080 4.160 3.267 0.000 0.000
4.160 4.239 2.473 0.000 0.000
4.239 4.318 2.235 0.000 0.000
4.318 4.398 2.501 0.000 0.000
4.398 4.477 3.331 0.000 0.000
