# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-11.310 -10.991 0.722 0.000 0.022
-10.991 -10.671 0.674 0.001 0.034
-10.671 -10.352 0.761 0.001 0.052
-10.352 -10.032 0.998 0.001 0.081
-10.032 -9.713 1.357 0.002 0.127
-9.713 -9.394 1.437 0.003 0.197
-9.394 -9.074 1.487 0.005 0.307
-9.074 -8.755 1.531 0.008 0.478
-8.755 -8.435 1.880 0.012 0.744
-8.435 -8.116 2.472 0.018 0.576
-8.116 -7.797 2.027 0.028 0.476
-7.797 -7.477 1.770 0.044 0.470
-7.477 -7.158 1.866 0.069 0.558
-7.158 -6.838 2.127 0.107 0.757
-6.838 -6.519 2.397 0.166 0.847
-6.519 -6.200 2.974 0.259 0.747
-6.200 -5.880 3.692 0.403 0.796
-5.880 -5.561 5.144 0.628 1.003
-5.561 -5.242 7.618 0.977 1.409
-5.242 -4.922 10.998 1.520 2.095
-4.922 -4.603 15.357 2.366 2.644
-4.603 -4.283 21.325 3.683 3.035
-4.283 -3.964 28.662 5.664 3.626
-3.964 -3.645 37.380 8.212 4.723
-3.645 -3.325 50.776 12.394 6.759
-3.325 -3.006 69.911 19.042 9.985
-3.006 -2.686 94.080 29.476 14.378
-2.686 -2.367 129.390 45.774 21.365
-2.367 -2.048 183.712 71.176 32.601
-2.048 -1.728 259.339 110.736 49.819
-1.728 -1.409 366.538 172.320 75.018
-1.409 -1.089 525.542 267.945 110.711
-1.089 -0.770 757.733 416.195 165.832
-0.770 -0.451 1088.277 645.634 249.927
-0.451 -0.131 1538.751 997.805 371.736
-0.131 0.188 2135.336 1480.437 531.204
0.188 0.508 2941.796 1859.440 714.765
0.508 0.827 4008.764 1785.671 894.754
0.827 1.146 5540.039 1444.807 1075.472
1.146 1.466 7715.126 1076.129 1258.983
1.466 1.785 9729.059 774.383 1443.842
1.785 2.105 10370.693 551.946 1575.506
2.105 2.424 9998.941 389.692 1653.375
2.424 2.743 9320.108 273.849 1702.044
2.743 3.063 8582.776 190.806 1592.921
3.063 3.382 7748.131 132.822 1280.342
3.382 3.702 6877.004 93.126 960.963
3.702 4.021 6007.382 65.043 700.837
4.021 4.340 4969.384 46.481 502.423
4.340 4.660 3776.937 32.875 358.029
4.660 4.979 2749.159 22.928 256.838
4.979 5.298 1980.445 16.663 183.277
5.298 5.618 1412.977 11.941 129.107
5.618 5.937 1001.756 8.106 92.010
5.937 6.257 708.459 5.545 66.362
6.257 6.576 505.624 3.563 48.270
6.576 6.895 362.918 2.289 34.665
6.895 7.215 262.869 1.471 25.505
7.215 7.534 192.257 0.945 18.900
7.534 7.854 141.698 0.607 13.617
7.854 8.173 104.650 0.390 8.819
8.173 8.492 78.856 0.251 5.775
8.492 8.812 59.993 0.161 3.880
8.812 9.131 47.207 0.103 2.757
9.131 9.451 36.170 0.066 2.169
9.451 9.770 28.652 0.043 1.393
9.770 10.089 23.459 0.027 0.895
10.089 10.409 19.392 0.018 0.575
10.409 10.728 15.971 0.011 0.370
10.728 11.048 14.689 0.007 0.237
11.048 11.367 13.574 0.005 0.153
11.367 11.686 11.730 0.003 0.098
11.686 12.006 10.631 0.002 0.063
12.006 12.325 9.760 0.001 0.040
12.325 12.645 9.305 0.001 0.026
12.645 12.964 8.100 0.001 0.017
12.964 13.283 6.956 0.000 0.011
13.283 13.603 5.577 0.000 0.007
13.603 13.922 4.531 0.000 0.004
13.922 14.242 3.667 0.000 0.003
14.242 14.561 3.005 0.000 0.002
14.561 14.880 2.942 0.000 0.001
14.880 15.200 2.864 0.000 0.001
15.200 15.519 2.715 0.000 0.000
15.519 15.838 2.793 0.000 0.000
15.838 16.158 2.496 0.000 0.000
16.158 16.477 2.418 0.000 0.000
16.477 16.797 2.475 0.000 0.000
16.797 17.116 2.684 0.000 0.000
17.116 17.435 2.696 0.000 0.000
17.435 17.755 2.819 0.000 0.000
17.755 18.074 2.654 0.000 0.000
18.074 18.394 2.432 0.000 0.000
18.394 18.713 1.906 0.000 0.000
18.713 19.032 1.759 0.000 0.000
19.032 19.352 1.415 0.000 0.000
19.352 19.671 1.274 0.000 0.000
19.671 19.991 0.916 0.000 0.000
19.991 20.310 0.588 0.000 0.000
