# LOW   HIGH Cl0_COUNT Cl1_COUNT Cl2_COUNT
-4.688 -4.597 1.482 0.000 0.006
-4.597 -4.507 1.864 0.000 0.008
-4.507 -4.416 1.341 0.000 0.011
-4.416 -4.325 0.986 0.000 0.016
-4.325 -4.235 0.754 0.000 0.023
-4.235 -4.144 0.617 0.000 0.032
-4.144 -4.053 0.557 0.000 0.046
-4.053 -3.963 0.566 0.000 0.066
-3.963 -3.872 0.646 0.000 0.093
-3.872 -3.781 0.806 0.001 0.133
-3.781 -3.691 1.068 0.001 0.189
-3.691 -3.600 1.463 0.001 0.268
-3.600 -3.509 2.041 0.002 0.381
-3.509 -3.419 2.874 0.003 0.542
-3.419 -3.328 4.066 0.004 0.770
-3.328 -3.237 5.767 0.006 1.095
-3.237 -3.147 7.818 0.008 1.556
-3.147 -3.056 9.841 0.012 1.773
-3.056 -2.965 11.655 0.017 1.277
-2.965 -2.875 13.619 0.024 0.939
-2.875 -2.784 17.287 0.033 0.720
-2.784 -2.693 21.129 0.048 0.590
-2.693 -2.603 24.078 0.068 0.534
-2.603 -2.512 29.607 0.096 0.545
-2.512 -2.421 35.820 0.137 0.624
-2.421 -2.331 42.874 0.194 0.781
-2.331 -2.240 48.167 0.276 1.036
-2.240 -2.149 54.276 0.392 1.420
-2.149 -2.059 63.812 0.558 1.982
-2.059 -1.968 75.808 0.793 2.612
-1.968 -1.877 90.942 1.128 2.365
-1.877 -1.787 104.899 1.603 2.413
-1.787 -1.696 119.142 2.279 2.763
-1.696 -1.605 132.816 3.239 3.459
-1.605 -1.515 145.884 4.605 4.586
-1.515 -1.424 159.001 6.546 6.104
-1.424 -1.333 174.285 9.306 7.186
-1.333 -1.243 188.582 13.229 8.034
-1.243 -1.152 202.652 18.806 9.638
-1.152 -1.061 213.889 26.734 12.447
-1.061 -0.971 230.406 36.799 16.041
-0.971 -0.880 249.621 50.705 21.039
-0.880 -0.789 270.875 70.160 27.956
-0.789 -0.699 292.046 97.741 36.698
-0.699 -0.608 320.672 134.257 49.662
-0.608 -0.517 362.351 182.572 68.834
-0.517 -0.427 418.693 244.222 95.494
-0.427 -0.336 491.969 325.004 127.997
-0.336 -0.245 584.203 423.538 166.755
-0.245 -0.155 699.694 533.625 216.677
-0.155 -0.064 822.788 637.498 276.241
-0.064 0.027 951.418 715.385 347.302
0.027 0.117 1114.226 751.380 429.176
0.117 0.208 1325.264 735.027 525.242
0.208 0.299 1600.391 685.419 612.573
0.299 0.389 1998.047 619.337 681.513
0.389 0.480 2556.970 548.650 714.595
0.480 0.571 3290.997 468.417 704.979
0.571 0.661 4274.074 388.752 686.998
0.661 0.752 5547.868 319.427 657.105
0.752 0.843 7135.496 267.480 636.316
0.843 0.933 8910.599 220.168 634.990
0.933 1.024 10474.751 175.487 663.105
1.024 1.115 11387.390 133.772 692.033
1.115 1.205 11313.240 102.608 716.890
1.205 1.296 10555.983 81.892 730.541
1.296 1.387 9573.698 66.675 703.018
1.387 1.477 8511.916 51.562 629.648
1.477 1.568 7348.888 38.611 533.928
1.568 1.659 6092.544 29.336 438.350
1.659 1.749 4880.292 22.701 345.021
1.749 1.840 3809.924 17.689 260.761
1.840 1.931 2907.307 13.549 192.892
1.931 2.021 2164.537 9.683 142.654
2.021 2.112 1574.673 7.027 104.513
2.112 2.203 1136.895 5.250 76.431
2.203 2.293 818.527 4.130 56.420
2.293 2.384 588.285 3.526 40.880
2.384 2.475 420.421 3.362 29.299
2.475 2.565 301.815 3.619 20.968
2.565 2.656 217.986 4.329 15.259
2.656 2.747 159.046 3.563 11.457
2.747 2.837 116.480 2.506 8.901
2.837 2.928 84.556 1.763 6.261
2.928 3.019 61.539 1.240 4.404
3.019 3.109 45.115 0.872 3.098
3.109 3.200 34.331 0.614 2.179
3.200 3.291 27.317 0.432 1.533
3.291 3.381 20.830 0.304 1.078
3.381 3.472 15.668 0.214 0.759
3.472 3.563 11.647 0.150 0.534
3.563 3.653 9.082 0.106 0.375
3.653 3.744 7.086 0.074 0.264
3.744 3.835 5.170 0.052 0.186
3.835 3.925 3.901 0.037 0.131
3.925 4.016 3.119 0.026 0.092
4.016 4.107 2.726 0.018 0.065
4.107 4.197 2.675 0.013 0.045
4.197 4.288 2.593 0.009 0.032
